City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bethel,US,40.5,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
1,Mataura,NZ,54.27,clear sky,-46.1927,168.8643,Ellie's Villa
2,Nyurba,RU,29.57,light snow,63.2842,118.3319,"Гостиница ""Comfort"""
3,Ayan,RU,19.99,few clouds,56.45,138.1667,Gostinitsa
4,Port-Gentil,GA,81.16,overcast clouds,-0.7193,8.7815,Fengshui Residence
5,Busselton,AU,75.85,clear sky,-33.65,115.3333,Observatory Guest House
6,Saint-Philippe,RE,83.79,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
7,Monopoli,IT,55.72,overcast clouds,40.9559,17.2896,Il Melograno
8,Bonthe,SL,76.91,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
9,Kodiak,US,35.11,few clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
10,Cabedelo,BR,77.99,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
12,Laguna,US,60.78,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
13,Udachnyy,RU,23.45,overcast clouds,66.4167,112.4,Severnoye Siyaniye
14,Mahebourg,MU,84.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
16,Ushuaia,AR,40.66,light intensity drizzle,-54.8,-68.3,Albatross Hotel
17,Mecca,SA,83.23,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
18,Dongzhen,CN,66.79,overcast clouds,22.3797,110.9389,茂名中汇时尚酒店
19,Severo-Kurilsk,RU,33.03,snow,50.6789,156.125,Kak Doma
20,Puerto Ayora,EC,77.38,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
21,Rikitea,PF,79.74,clear sky,-23.1203,-134.9692,People ThankYou
24,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
25,Sao Joao Da Barra,BR,75.88,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
26,Hermanus,ZA,65.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
27,Bluff,NZ,56.77,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
28,Lagoa,PT,58.89,scattered clouds,39.05,-27.9833,Casa Das Faias
31,Bredasdorp,ZA,67.01,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
33,Pangnirtung,CA,13.87,broken clouds,66.1451,-65.7125,Kilabuk Lodge
34,Kahului,US,71.83,clear sky,20.8947,-156.47,Maui Seaside Hotel
35,Kavieng,PG,82.27,moderate rain,-2.5744,150.7967,Nusa Island Retreat
36,Ilulissat,GL,21.22,overcast clouds,69.2167,-51.1,Hotel Arctic
38,Boguchany,RU,20.32,light snow,58.3814,97.4531,Uyut
39,Port Alfred,ZA,67.17,scattered clouds,-33.5906,26.891,The Halyards Hotel
40,Torbay,CA,33.58,few clouds,47.6666,-52.7314,Gallows Cove
41,Mocuba,MZ,76.93,light rain,-16.8392,36.9856,Phama Lodge
42,Faanui,PF,82.17,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
43,Kaitangata,NZ,53.91,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
46,Zhigansk,RU,17.17,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
47,Lorengau,PG,82.9,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
48,Mehamn,NO,23.61,light snow,71.0357,27.8492,Mehamn Arctic Hotel AS
49,Moron,AR,60.98,clear sky,-34.6534,-58.6198,Hotel Morón
50,Haimen,CN,67.89,overcast clouds,23.1935,116.6142,Jinghao Business Hotel
51,Intipuca,SV,76.15,overcast clouds,13.1969,-88.0544,Tropiclub Playa El Cuco
52,Jalu,LY,61.99,clear sky,29.0331,21.5482,صاحبة الفخامة
53,Najran,SA,72.25,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
54,Port Moresby,PG,83.44,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
55,College,US,35.8,few clouds,64.8569,-147.8028,Pike's Waterfront Lodge
56,Pasighat,IN,83.89,few clouds,28.0667,95.3333,Siang Guest House
57,New Norfolk,AU,77.88,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
59,Kendari,ID,79.47,light rain,-3.945,122.4989,Hotel Wixel
60,Scottsboro,US,45.55,few clouds,34.6723,-86.0341,Budget Inn
61,Derzhavinsk,KZ,30.31,overcast clouds,51.1,66.3167,Ooo.khim Baza
62,Santiago,CL,64.17,clear sky,-33.4569,-70.6483,Hotel Panamericano
63,Macusani,PE,38.93,overcast clouds,-14.0833,-70.4333,"Hospedaje ""Arca de Noe"""
64,Hobart,AU,78.22,clear sky,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
66,Hasaki,JP,59.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
67,Kaeo,NZ,66.33,broken clouds,-35.1,173.7833,Bushido Lodge
68,Alice Springs,AU,89.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
69,Portland,US,57.2,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
70,Victoria,HK,77.18,overcast clouds,22.2855,114.1577,Mini Hotel Central
71,Yellowknife,CA,0.41,light snow,62.456,-114.3525,The Explorer Hotel
72,Bilma,NE,71.38,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
73,Punta Arenas,CL,41.11,overcast clouds,-53.15,-70.9167,Hotel Hain
74,Sao Filipe,CV,69.1,broken clouds,14.8961,-24.4956,Hotel Xaguate
75,Bowen,AU,81.21,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
76,Chuy,UY,60.49,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
77,Mangalia,RO,53.8,scattered clouds,43.8,28.5833,Hotel Paradiso
78,New Albany,US,32.02,scattered clouds,38.2856,-85.8241,Hampton Inn New Albany Louisville West
79,Trofors,NO,27.93,snow,65.5333,13.4063,Utpå Neset AS
80,Leh,IN,33.8,clear sky,34.1667,77.5833,Hotel Ladakh Greens
83,Chapais,CA,13.78,light snow,49.7834,-74.8492,Hôtel Opémiska
84,San Patricio,US,67.89,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
85,Poso,ID,85.73,broken clouds,-1.3959,120.7524,Hotel 77 Poso
87,Narasannapeta,IN,97.32,clear sky,18.4167,84.05,AVK events and catering
88,Westport,US,41.81,broken clouds,41.1415,-73.3579,The Inn at Longshore
89,Cap-Aux-Meules,CA,32.02,light snow,47.3821,-61.8597,Château Madelinot
90,Moroni,KM,83.53,light rain,-11.7022,43.2551,Hotel les Arcades
91,Atuona,PF,79.21,few clouds,-9.8,-139.0333,Villa Enata
92,Hithadhoo,MV,82.31,clear sky,-0.6,73.0833,Scoop Guest House
93,Nikolskoye,RU,24.87,overcast clouds,59.7035,30.7861,Tourist House - Sablino
94,Cidreira,BR,62.56,clear sky,-30.1811,-50.2056,Hotel Castelo
95,Rio Gallegos,AR,39.25,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
98,Rocky Mountain House,CA,26.71,scattered clouds,52.3668,-114.9188,Walking Eagle Inn & Lodge
99,Melita,CA,12.54,overcast clouds,49.2681,-100.9967,Western Star Hotel
100,Luganville,VU,80.53,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
101,Jamestown,US,27.52,mist,42.097,-79.2353,Hampton Inn & Suites Jamestown
102,Klaksvik,FO,47.32,overcast clouds,62.2266,-6.589,Airbnb rooms
103,Chernyshevskiy,RU,24.87,light snow,63.0128,112.4714,Chernyseyskiy
104,Kirakira,SB,80.85,overcast clouds,-10.4544,161.9205,SanBiz Lodge
105,Karia,NG,73.18,overcast clouds,11.7306,11.1629,Kasakchiya Luxury Suites
106,Lasa,IT,44.02,clear sky,46.6166,10.7002,Pension Feldgärtenhof
107,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
109,Mount Isa,AU,94.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
112,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
113,Ponta Do Sol,PT,64.0,overcast clouds,32.6667,-17.1,Hotel do Campo
114,Harper,LR,78.22,overcast clouds,4.375,-7.7169,Screensaver
