City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,2022-03-27 20:48:11,-33.65,115.3333,58.08,69,0,13.96,clear sky
1,Lincoln,US,2022-03-27 20:49:35,40.8,-96.667,44.91,31,100,10.36,overcast clouds
2,Atuona,PF,2022-03-27 20:52:08,-9.8,-139.0333,79.23,76,45,14.72,scattered clouds
3,Mahebourg,MU,2022-03-27 20:48:33,-20.4081,57.7,79.09,83,40,1.14,scattered clouds
4,Uyar,RU,2022-03-27 20:52:09,55.81,94.3153,0.21,97,37,3.13,scattered clouds
5,San Jeronimo,PE,2022-03-27 20:51:05,-11.9472,-75.2829,60.55,64,81,4.99,broken clouds
6,Clyde River,CA,2022-03-27 20:52:10,70.4692,-68.5914,-1.97,78,100,8.05,overcast clouds
7,Hermanus,ZA,2022-03-27 20:52:10,-34.4187,19.2345,68.81,67,97,3.98,overcast clouds
8,Namatanai,PG,2022-03-27 20:49:12,-3.6667,152.4333,80.31,82,98,5.5,light rain
9,Banon,ES,2022-03-27 20:52:11,40.8382,-1.1909,47.46,71,0,6.91,clear sky
10,Kawalu,ID,2022-03-27 20:50:28,-7.3817,108.2082,72.14,98,100,2.8,overcast clouds
11,Rikitea,PF,2022-03-27 20:48:12,-23.1203,-134.9692,79.12,69,5,11.14,clear sky
12,Mar Del Plata,AR,2022-03-27 20:50:36,-38.0023,-57.5575,69.82,60,0,15.99,clear sky
13,Jamestown,US,2022-03-27 20:48:22,42.097,-79.2353,22.51,55,100,21.85,overcast clouds
14,Grants,US,2022-03-27 20:52:12,35.1473,-107.8514,75.43,6,0,3.44,clear sky
15,Punta Arenas,CL,2022-03-27 20:52:12,-53.15,-70.9167,51.91,54,0,26.46,clear sky
16,Georgetown,MY,2022-03-27 20:52:09,5.4112,100.3354,80.53,86,20,5.99,few clouds
17,Torbay,CA,2022-03-27 20:48:05,47.6666,-52.7314,42.28,92,100,17.27,overcast clouds
18,Ormara,PK,2022-03-27 20:52:13,25.2088,64.6357,77.95,73,0,13.24,clear sky
19,Eldorado,BR,2022-03-27 20:51:13,-23.7869,-54.2836,73.74,68,0,3.83,clear sky
20,Hualmay,PE,2022-03-27 20:52:14,-11.0964,-77.6139,74.28,74,96,10.96,overcast clouds
21,Albany,US,2022-03-27 20:48:23,42.6001,-73.9662,36.03,70,100,3.0,light snow
22,Rantepao,ID,2022-03-27 20:52:15,-2.9701,119.8978,64.58,93,100,3.51,overcast clouds
23,Lebu,CL,2022-03-27 20:52:15,-37.6167,-73.65,59.11,70,0,12.08,clear sky
24,Kodiak,US,2022-03-27 20:52:16,57.79,-152.4072,33.31,100,100,28.77,light snow
